0,label
"[2.33435530e-01 2.25099852e-01 1.46416821e-01 ... 1.88683984e+02
 1.94204808e+02 2.00942356e+02]",0
"[  0.           0.           0.         ... 195.13562011 202.86773585
 187.85344272]",0
"[2.17000383e-01 1.50016760e-01 8.82313842e-02 ... 1.94346106e+02
 1.95249614e+02 1.74104417e+02]",0
"[  0.           0.           0.         ... 182.4450755  171.145467
 199.75527947]",0
"[2.33218619e-01 5.99284213e-02 1.10056400e-01 ... 1.77293705e+02
 1.96055011e+02 1.96043486e+02]",0
"[1.70361994e-01 1.09912622e-01 2.42897244e-01 ... 1.84260364e+02
 1.94668565e+02 1.98812819e+02]",0
"[2.53100816e-01 4.70277290e-02 2.27131797e-01 ... 2.06883634e+02
 2.01945185e+02 1.79011151e+02]",0
"[2.44205470e-01 9.65288504e-02 9.06740600e-02 ... 1.89792991e+02
 1.97556217e+02 1.97016938e+02]",0
"[  0.           0.           0.         ... 198.02394561 192.9172436
 185.58561573]",0
"[2.19783499e-01 1.01579667e-01 7.57468210e-02 ... 1.94540674e+02
 1.88407096e+02 1.82762163e+02]",0
"[1.60558601e-01 1.12291561e-01 9.35127985e-02 ... 1.74430333e+02
 1.89414193e+02 2.06139708e+02]",0
"[1.61053777e-01 9.72168091e-02 8.30788812e-02 ... 1.91648149e+02
 2.01278021e+02 1.89203880e+02]",0
"[1.65401412e-01 1.85856274e-01 9.91019761e-02 ... 1.95545725e+02
 1.81559767e+02 1.97265597e+02]",0
"[1.58355062e-01 1.61512034e-01 1.68002581e-01 ... 1.87922298e+02
 1.73200307e+02 1.98107968e+02]",0
"[2.73399749e-01 7.78184285e-02 1.39096731e-01 ... 1.86849243e+02
 1.70080302e+02 1.55231411e+02]",0
"[1.53579991e-01 6.73630359e-02 7.28110645e-02 ... 1.68329999e+02
 1.79919936e+02 2.00414840e+02]",0
"[  0.           0.           0.         ... 166.14000789 172.05047193
 187.75847727]",0
"[  0.           0.           0.         ... 193.6556728  167.77887759
 178.62679366]",0
"[  0.22887108   0.21699168   0.21128865 ... 196.9872736  194.25593098
 191.73659841]",0
"[3.90254510e-01 1.04353150e-01 2.59677827e-02 ... 1.82025957e+02
 1.93983339e+02 1.91600064e+02]",0
"[1.41719030e-01 0.00000000e+00 6.57644244e-02 ... 2.00868133e+02
 1.98177100e+02 1.92003825e+02]",0
"[2.23409287e-01 2.23409287e-01 7.23460799e-02 ... 2.06578824e+02
 1.99543474e+02 1.96808924e+02]",0
"[2.23830724e-01 2.23830724e-01 9.90232026e-02 ... 1.90598900e+02
 2.02180931e+02 1.73117077e+02]",0
"[2.23735977e-01 1.74653698e-01 1.65342501e-01 ... 2.04188999e+02
 1.74967939e+02 1.77991943e+02]",0
"[1.58775493e-01 1.97834328e-01 1.74995860e-01 ... 1.99929154e+02
 1.91774785e+02 2.02400481e+02]",0
"[2.29514363e-01 3.25847101e-02 1.74135827e-01 ... 1.99773599e+02
 1.94277669e+02 2.06507827e+02]",0
"[  0.           0.           0.         ... 191.03887425 181.50353307
 185.53589178]",0
"[  0.           0.           0.         ... 170.97088027 188.92755947
 193.85309467]",0
"[2.22820547e-01 9.00455369e-02 1.13520256e-01 ... 1.81562333e+02
 2.01928724e+02 1.64722087e+02]",0
"[2.32366697e-01 7.13502115e-02 1.95387220e-01 ... 1.90301851e+02
 1.74034199e+02 1.91589669e+02]",0
"[2.68944017e-01 3.40000116e-02 1.75377074e-01 ... 1.92197217e+02
 1.67575379e+02 1.94906270e+02]",0
"[2.07620861e-01 1.33943346e-01 7.69469632e-02 ... 1.94933031e+02
 1.88584371e+02 1.76703204e+02]",0
"[1.67076449e-01 1.35370183e-01 2.20678371e-01 ... 1.89879007e+02
 1.87071479e+02 1.94452827e+02]",0
"[1.42142181e-01 2.20927167e-01 1.76684083e-01 ... 2.01563278e+02
 1.57039471e+02 1.93994611e+02]",0
"[  0.26955683   0.26955683   0.26955683 ... 200.02613212 169.74188168
 190.84557781]",0
"[  0.           0.           0.         ... 180.64651669 184.53921235
 199.80379571]",0
"[2.23523500e-01 9.82880227e-02 1.98447414e-01 ... 1.92159590e+02
 1.71668521e+02 1.94683952e+02]",0
"[2.21496994e-01 9.27743573e-02 2.83733090e-02 ... 1.92800268e+02
 2.05152338e+02 2.04095052e+02]",0
"[1.73838701e-01 2.21738282e-01 1.35320613e-01 ... 1.88246357e+02
 1.62924344e+02 2.03602101e+02]",0
"[  0.41041505   0.           0.         ... 192.70561217 182.62097392
 182.2059491 ]",0
"[2.21886191e-01 1.64154038e-01 1.69967304e-01 ... 1.98007002e+02
 2.01260141e+02 1.78718370e+02]",0
"[2.16268672e-01 5.01633443e-02 2.17471890e-01 ... 1.80258630e+02
 1.93177216e+02 1.94397784e+02]",0
